"","x"
"1157",16
"1158",17
"1159",149
"1160",18
"1161",19
"1162",34
"1163",15
"1164",22
"1165",20
"1166",115
"1167",6
"1168",21
"1169",27
"1170",6
"1171",8
"1172",46
"1173",157
"1174",161
"1175",20
"1176",7
"1177",31
"1178",68
"1179",17
"1180",18
"1181",53
"1182",23
"1183",51
"1184",12
"1185",28
"1186",4
"1187",15
"1188",34
"1189",54
"1190",50
"1191",0
"1192",22
"1193",6
"1194",30
"1195",44
"1196",16
"1197",23
"1198",18
"1199",21
"1200",1
"1201",30
"1202",8
"1203",57
"1204",20
"1205",17
"1206",2
"1207",18
"1208",16
"1209",19
"1210",28
"1211",53
"1212",104
"1213",69
"1214",34
"1215",28
"1216",32
"1217",25
"1218",17
"1219",23
"1220",45
"1221",15
"1222",17
"1223",14
"1224",18
"1225",19
"1226",9
"1227",18
"1228",40
"1229",42
"1230",16
"1231",48
"1232",33
"1233",24
"1234",22
"1235",78
"1236",23
"1237",17
"1238",1
"1239",15
"1240",19
"1241",20
"1242",62
"1243",29
"1244",32
"1245",30
"1246",136
"1247",125
"1248",10
"1249",18
"1250",11
"1251",55
"1252",20
"1253",12
"1254",17
"1255",21
"1256",27
"1257",19
"1258",3
"1259",53
"1260",33
"1261",22
"1262",12
"1263",116
"1264",9
"1265",23
"1266",44
"1267",23
"1268",25
"1269",19
"1270",16
"1271",18
"1272",6
"1273",22
"1274",100
"1275",148
"1276",5
"1277",36
"1278",117
"1279",28
"1280",24
"1281",8
"1282",29
"1283",23
"1284",18
"1285",16
"1286",36
"1287",6
"1288",24
"1289",100
"1290",27
"1291",15
"1292",18
"1293",67
"1294",32
"1295",15
"1296",61
"1297",40
"1298",14
"1299",5
"1300",74
"1301",1
"1302",20
"1303",12
"1304",18
"1305",22
"1306",27
"1307",3
"1308",31
"1309",27
"1310",22
"1311",27
"1312",13
"1313",23
"1314",19
"1315",23
"1316",19
"1317",39
"1318",22
"1319",17
"1320",244
"1321",242
"1322",17
"1323",123
"1324",8
"1325",30
"1326",22
"1327",19
"1328",5
"1329",5
"1330",15
"1331",40
"1332",19
"1333",25
"1334",13
"1335",27
"1336",49
"1337",16
"1338",35
"1339",41
"1340",57
"1341",32
"1342",14
"1343",8
"1344",2
"1345",35
"1346",2
"1347",33
"1348",64
"1349",130
"1350",21
"1351",27
"1352",15
"1353",32
"1354",10
"1355",16
"1356",0
"1357",141
"1358",16
"1359",1
"1360",108
"1361",13
"1362",5
"1363",18
"1364",14
"1365",18
"1366",29
"1367",18
"1368",35
"1369",121
"1370",17
"1371",19
"1372",24
"1373",87
"1374",17
"1375",11
"1376",7
"1377",63
"1378",5
"1379",10
"1380",5
"1381",119
"1382",41
"1383",30
"1384",3
"1385",15
"1386",9
"1387",11
"1388",63
"1389",32
"1390",86
"1391",81
"1392",147
"1393",26
"1394",1
"1395",40
"1396",15
"1397",103
"1398",23
"1399",21
"1400",17
"1401",59
"1402",39
"1403",38
"1404",1
"1405",17
"1406",29
"1407",20
"1408",25
"1409",164
"1410",25
"1411",20
"1412",19
"1413",16
"1414",11
"1415",32
"1416",17
"1417",37
"1418",148
"1419",42
"1420",6
"1421",17
"1422",28
"1423",18
"1424",22
"1425",76
"1426",25
"1427",152
"1428",95
"1429",91
"1430",6
"1431",18
"1432",23
"1433",17
"1434",31
"1435",40
"1436",17
"1437",2
"1438",17
"1439",85
"1440",115
"1441",19
"1442",87
"1443",45
"1444",46
"1445",17
"1446",17
"1447",10
"1448",17
"1449",119
"1450",96
"1451",49
"1452",12
"1453",2
"1454",36
"1455",75
"1456",39
"1457",20
"1458",25
"1459",21
"1460",18
"1461",16
"1462",7
"1463",21
"1464",17
"1465",17
"1466",88
"1467",68
"1468",26
"1469",78
"1470",114
"1471",295
"1472",20
"1473",31
"1474",29
"1475",1933
"1476",25
"1477",210
"1478",20
"1479",29
"1480",38
"1481",3
"1482",43
"1483",35
"1484",7
"1485",17
"1486",908
"1487",28
"1488",19
"1489",8
"1490",41
"1491",48
"1492",20
"1493",18
"1494",20
"1495",60
"1496",116
"1497",47
"1498",19
"1499",80
"1500",1
"1501",17
"1502",15
"1503",74
"1504",13
"1505",37
"1506",136
"1507",69
"1508",12
"1509",4
"1510",3
"1511",104
"1512",21
"1513",64
"1514",21
"1515",9
"1516",35
"1517",6
"1518",2
"1519",19
"1520",38
"1521",56
"1522",23
"1523",30
"1524",18
"1525",60
"1526",18
"1527",121
"1528",62
"1529",37
"1530",15
"1531",40
"1532",18
"1533",29
"1534",14
"1535",23
"1536",15
"1537",24
"1538",17
"1539",131
"1540",76
"1541",24
"1542",119
"1543",57
"1544",138
"1545",20
"1546",23
"1547",22
"1548",26
"1549",20
"1550",11
"1551",17
"1552",1
"1553",38
"1554",11
"1555",15
"1556",87
"1557",22
"1558",41
"1559",21
"1560",16
"1561",26
"1562",19
"1563",130
"1564",51
"1565",10
"1566",19
"1567",67
"1568",15
"1569",9
"1570",12
"1571",36
"1572",22
"1573",105
"1574",13
"1575",16
"1576",26
"1577",20
"1578",9
"1579",36
"1580",23
"1581",3
"1582",13
"1583",42
"1584",12
"1585",7
"1586",64
"1587",16
"1588",38
"1589",19
"1590",1
"1591",38
"1592",23
"1593",20
"1594",19
"1595",43
"1596",40
"1597",227
"1598",3
"1599",16
"1600",20
"1601",26
"1602",22
"1603",23
"1604",16
"1605",11
"1606",35
"1607",14
"1608",65
"1609",14
"1610",26
"1611",15
"1612",36
"1613",120
"1614",16
"1615",32
"1616",88
"1617",21
"1618",33
"1619",71
"1620",24
"1621",71
"1622",66
"1623",37
"1624",104
"1625",58
"1626",28
"1627",51
"1628",21
"1629",94
"1630",28
"1631",36
"1632",74
"1633",19
"1634",6
"1635",71
"1636",80
"1637",8
"1638",73
"1639",21
"1640",59
"1641",9
"1642",23
"1643",83
"1644",17
"1645",41
"1646",21
"1647",4
"1648",8
"1649",25
"1650",7
"1651",6
"1652",7
"1653",37
"1654",245
"1655",61
"1656",44
"1657",15
"1658",27
"1659",43
"1660",16
"1661",82
"1662",201
"1663",20
"1664",24
"1665",19
"1666",22
"1667",66
"1668",21
"1669",125
"1670",117
"1671",122
"1672",19
"1673",16
"1674",83
"1675",85
"1676",10
"1677",4
"1678",21
"1679",41
"1680",48
"1681",57
"1682",31
"1683",128
"1684",15
"1685",33
"1686",33
"1687",74
"1688",36
"1689",83
"1690",67
"1691",39
"1692",0
"1693",10
"1694",10
"1695",22
"1696",14
"1697",76
"1698",12
"1699",40
"1700",4
"1701",35
"1702",37
"1703",27
"1704",74
"1705",12
"1706",16
"1707",46
"1708",8
"1709",35
"1710",62
"1711",33
"1712",39
"1713",18
"1714",19
"1715",10
"1716",968
"1717",23
"1718",28
"1719",38
"1720",17
"1721",16
"1722",26
"1723",1
"1724",31
"1725",2
"1726",26
"1727",9
"1728",3
"1729",41
"1730",1
"1731",36
"1732",99
"1733",111
"1734",17
"1735",19
"1736",104
"1737",22
"1738",41
"1739",25
"1740",29
"1741",26
"1742",17
